temperature,humidity,soil_moisture,pump_on
17.41,46.02,21.16,0
30.41,48.19,17.11,1
21.21,43.98,28.66,0
19.06,55.46,28.31,0
30.94,49.99,11.62,1
31.99,72.51,59.76,0
21.33,69.16,27.08,0
20.5,59.65,26.42,0
29.0,63.81,21.94,1
29.32,85.53,65.69,0
26.08,60.67,24.21,1
34.34,79.57,68.95,0
21.27,51.97,21.96,0
30.21,40.25,16.14,1
28.05,63.39,24.52,1
31.61,84.86,47.35,0
31.29,44.81,17.84,1
17.8,64.89,26.67,0
22.91,58.9,18.92,0
29.22,85.8,40.55,0
22.68,44.84,22.82,0
26.5,62.03,24.89,1
25.66,78.83,41.26,0
27.74,75.61,65.75,0
29.32,70.64,36.82,0
26.62,39.35,15.68,1
28.84,59.06,17.12,1
29.2,56.21,21.37,1
25.88,46.2,14.62,1
31.04,82.43,50.33,0
31.29,56.99,19.16,1
21.51,40.65,25.33,0
22.34,51.82,16.92,0
19.13,67.93,25.07,0
22.31,53.7,21.97,0
32.84,78.16,47.56,0
31.08,36.9,15.58,1
29.13,76.42,62.98,0
22.12,58.58,26.46,0
21.51,59.87,31.72,0
24.9,82.83,58.2,0
26.07,62.7,17.4,1
26.94,81.36,64.89,0
32.31,82.32,69.21,0
22.75,57.5,27.34,0
19.56,62.71,27.43,0
17.32,46.95,21.4,0
32.13,58.51,24.89,1
30.2,76.49,42.52,0
28.58,55.65,23.92,1
32.86,77.02,52.72,0
28.76,43.75,25.14,1
30.46,81.48,41.31,0
29.52,57.6,23.6,1
21.75,60.85,27.0,0
29.61,54.57,25.68,1
29.65,83.88,64.42,0
33.29,75.54,69.52,0
26.38,74.16,61.21,0
24.04,39.27,15.71,0
17.64,64.11,30.73,0
18.19,54.11,26.75,0
19.5,60.66,25.66,0
33.31,76.9,36.06,0
28.21,72.6,43.39,0
20.91,50.6,18.26,0
23.04,45.25,15.08,0
17.97,60.37,25.94,0
28.9,49.87,25.11,1
26.74,56.65,23.51,1
19.21,44.95,24.03,0
26.5,53.9,26.98,1
20.2,52.07,24.08,0
27.05,86.15,65.73,0
29.69,53.66,24.63,1
30.39,77.73,47.46,0
19.08,49.58,18.82,0
26.96,67.57,18.06,1
31.73,73.12,65.67,0
25.9,68.91,66.1,0
19.57,44.7,22.33,0
18.6,66.5,25.65,0
31.12,84.49,65.53,0
27.87,51.08,22.14,1
29.92,74.19,68.8,0
27.15,86.73,65.62,0
21.37,63.27,29.82,0
33.03,69.57,55.44,0
30.2,63.78,26.56,1
27.55,50.16,15.27,1
20.3,61.88,29.11,0
22.1,61.09,20.85,0
20.44,55.49,15.67,0
20.63,44.38,20.76,0
23.94,59.6,20.22,0
24.39,51.26,14.74,0
28.09,55.1,25.08,1
20.31,43.46,20.41,0
32.31,52.04,16.39,1
18.9,64.97,26.81,0
23.64,44.48,19.0,0
22.23,64.34,28.62,0
20.36,36.87,23.07,0
31.46,80.09,42.49,0
28.82,77.38,54.71,0
25.19,79.71,64.0,0
29.0,56.96,23.1,1
27.71,67.19,23.71,1
25.33,67.43,33.34,0
18.75,68.49,30.6,0
25.52,43.04,11.96,1
26.48,77.81,45.46,0
26.82,73.42,50.12,0
19.04,60.44,24.97,0
33.39,75.26,40.61,0
27.26,45.89,15.79,1
17.31,55.51,30.2,0
27.45,65.88,20.86,1
26.95,59.3,22.04,1
27.48,50.84,19.7,1
37.14,81.74,46.77,0
20.04,48.07,20.98,0
25.97,55.65,20.17,1
33.54,44.87,17.7,1
20.57,49.26,20.71,0
28.33,78.36,48.22,0
27.33,75.52,43.9,0
28.34,37.61,18.79,1
29.99,44.25,15.89,1
26.72,77.52,49.53,0
27.26,73.55,59.29,0
21.24,68.63,27.92,0
32.73,74.88,44.98,0
29.48,59.02,26.17,1
31.54,76.63,66.17,0
29.16,70.92,42.97,0
27.79,80.82,47.0,0
31.6,73.72,47.78,0
28.28,84.97,46.51,0
28.35,57.18,23.19,1
27.14,63.32,22.78,1
21.56,53.19,17.53,0
19.03,71.46,28.14,0
20.17,67.93,26.29,0
26.77,78.39,69.34,0
29.15,59.03,20.38,1
16.24,47.18,25.04,0
25.95,53.08,23.73,1
27.05,61.07,22.4,1
25.74,49.15,17.8,1
25.56,54.07,25.59,1
27.44,74.05,41.26,0
27.51,59.31,22.96,1
20.0,42.83,30.95,0
28.77,51.48,14.01,1
19.82,56.83,31.15,0
29.21,66.47,21.48,1
28.61,79.41,62.47,0
21.81,57.05,21.65,0
20.81,66.86,25.87,0
29.86,55.76,25.84,1
20.33,56.5,26.07,0
34.07,79.42,56.74,0
20.21,47.59,22.26,0
31.25,81.65,61.45,0
25.75,46.87,16.69,1
29.39,78.4,45.32,0
28.06,41.87,21.6,1
26.92,62.68,21.84,1
31.35,73.31,61.07,0
27.55,78.11,46.39,0
28.74,65.06,20.9,1
27.62,42.19,19.66,1
22.87,47.24,25.13,0
19.57,54.41,27.34,0
27.08,52.68,15.85,1
20.96,66.57,25.28,0
27.79,50.81,16.22,1
28.49,82.65,39.56,0
25.38,63.54,26.08,1
32.11,80.81,64.33,0
21.66,62.57,27.3,0
16.58,56.01,26.1,0
27.55,53.13,15.46,1
18.84,62.48,26.26,0
28.14,67.47,64.44,0
20.13,64.43,28.87,0
18.46,66.0,26.01,0
26.6,85.41,50.69,0
22.45,54.34,24.19,0
30.19,71.02,44.8,0
18.25,55.31,20.39,0
27.87,70.76,44.79,0
32.08,77.34,40.8,0
30.53,80.11,42.53,0
19.2,40.65,21.87,0
21.95,63.78,30.0,0
25.42,58.8,24.04,1
31.34,78.27,51.47,0
33.66,78.49,51.78,0
31.23,74.15,49.11,0
26.78,44.59,23.19,1
25.9,53.96,24.68,1
26.54,42.98,15.84,1
28.48,61.43,20.74,1
25.45,60.46,17.3,1
18.4,51.06,26.04,0
35.0,83.26,47.75,0
20.54,44.33,18.75,0
16.69,62.66,26.57,0
18.91,39.96,23.62,0
34.99,75.27,62.88,0
28.13,60.27,22.07,1
30.37,76.8,34.8,0
20.04,46.87,22.83,0
26.02,51.48,17.01,1
18.71,61.3,20.99,0
22.91,41.45,20.44,0
25.97,47.4,16.49,1
25.65,45.84,24.93,1
30.67,63.08,21.39,1
19.71,46.13,24.17,0
18.77,72.97,25.66,0
29.01,77.79,55.4,0
21.63,58.25,28.03,0
30.67,66.87,24.38,1
20.31,64.02,27.93,0
29.79,42.34,16.32,1
19.3,53.42,30.23,0
23.43,44.1,13.95,0
20.22,37.51,22.4,0
28.66,85.7,60.4,0
28.48,58.66,23.74,1
29.53,77.77,45.92,0
34.59,83.13,39.76,0
32.14,77.2,70.51,0
27.8,63.53,27.28,1
33.56,72.15,63.64,0
26.74,53.51,16.94,1
31.89,81.71,60.05,0
27.65,80.57,36.33,0
28.08,75.39,44.21,0
25.42,57.84,28.25,1
16.76,48.41,24.14,0
20.61,60.89,29.4,0
29.99,54.36,18.31,1
21.04,49.47,21.86,0
22.69,60.78,31.33,0
34.62,78.21,36.88,0
20.73,46.09,24.21,0
17.49,61.36,26.3,0
30.9,82.83,38.84,0
19.43,68.19,27.19,0
30.67,82.3,59.56,0
27.74,80.63,57.83,0
29.83,76.65,46.84,0
32.0,82.87,63.68,0
26.64,67.21,58.72,0
20.87,61.55,29.11,0
26.75,48.51,17.04,1
31.1,83.01,58.44,0
21.4,54.99,21.42,0
24.5,42.45,21.23,0
19.9,45.67,23.8,0
22.33,43.8,22.91,0
29.51,80.97,47.0,0
29.39,83.0,52.81,0
29.96,69.4,40.97,0
19.27,65.09,28.04,0
26.23,57.27,24.01,1
28.81,43.35,20.64,1
31.76,76.22,57.98,0
18.28,54.01,27.07,0
33.64,75.27,44.38,0
26.67,76.77,42.11,0
18.38,46.82,17.05,0
24.78,58.44,30.13,0
31.77,56.77,25.09,1
26.48,70.9,59.91,0
23.92,55.7,17.41,0
29.61,45.36,14.94,1
25.33,55.46,15.71,1
24.13,53.78,26.24,0
17.54,39.67,21.89,0
26.07,47.02,16.96,1
28.34,64.34,19.99,1
29.8,75.48,40.26,0
17.22,58.08,27.58,0
21.86,60.47,27.85,0
24.25,48.87,14.97,0
26.83,63.81,21.88,1
29.9,48.57,16.41,1
21.64,46.62,20.35,0
23.62,43.95,17.5,0
20.89,56.23,22.27,0
31.76,75.19,50.61,0
33.23,81.94,40.72,0
28.8,40.85,16.93,1
18.14,66.62,28.1,0
35.98,72.81,66.63,0
25.18,35.08,15.44,1
29.63,71.48,71.3,0
26.25,55.14,25.44,1
20.35,48.66,24.83,0
24.88,40.57,16.31,0
32.63,66.69,64.61,0
20.66,67.75,28.98,0
33.72,81.9,51.15,0
27.26,38.29,15.99,1
30.41,62.96,67.94,0
20.26,55.52,29.06,0
26.63,55.28,21.88,1
26.07,58.5,18.88,1
32.17,80.88,58.58,0
30.93,51.47,18.99,1
32.5,45.96,18.52,1
24.28,47.87,19.01,0
18.71,52.44,23.61,0
25.16,45.44,13.26,1
18.01,44.43,24.42,0
15.51,43.78,23.58,0
25.27,78.77,44.93,0
22.8,46.7,19.25,0
25.89,42.6,19.53,1
22.57,40.95,20.49,0
33.16,60.35,20.6,1
32.74,81.15,47.34,0
19.13,48.88,23.55,0
27.6,77.49,68.98,0
20.55,49.87,20.05,0
32.16,83.7,44.69,0
30.7,78.22,49.72,0
21.83,49.65,18.96,0
29.72,78.32,46.78,0
29.91,91.77,42.78,0
30.48,47.34,24.15,1
31.3,82.41,56.35,0
28.5,82.43,71.8,0
28.73,76.1,51.21,0
26.06,82.25,74.24,0
19.87,50.88,26.35,0
14.55,50.94,23.38,0
23.48,59.25,31.47,0
32.65,80.83,43.54,0
27.46,73.12,37.22,0
29.52,76.25,61.41,0
32.7,81.54,63.82,0
25.14,54.58,24.15,1
36.73,83.74,39.17,0
27.46,39.68,18.29,1
20.86,45.83,22.01,0
32.65,76.13,57.57,0
20.7,49.61,23.35,0
23.83,55.7,19.32,0
33.13,77.08,60.72,0
19.02,60.38,26.47,0
34.62,90.74,66.43,0
26.73,73.83,69.17,0
18.79,61.98,28.09,0
21.53,40.18,26.72,0
18.0,63.67,28.13,0
25.42,54.28,26.55,1
19.25,58.29,25.63,0
22.03,57.65,25.71,0
27.55,81.97,71.38,0
17.22,55.07,31.22,0
20.56,52.98,26.38,0
18.32,52.67,29.11,0
30.55,76.86,76.42,0
19.31,64.15,26.66,0
20.02,62.82,22.69,0
20.96,55.28,27.01,0
20.32,50.22,28.42,0
18.3,51.2,26.61,0
20.86,71.52,28.3,0
20.27,51.47,24.84,0
21.08,46.78,21.35,0
27.15,44.24,19.67,1
20.9,55.2,22.83,0
30.58,54.45,24.08,1
31.75,77.16,66.66,0
22.83,52.45,19.97,0
30.59,56.54,26.07,1
23.32,52.59,20.06,0
32.13,80.52,59.62,0
19.93,51.37,21.47,0
26.51,40.38,17.19,1
28.49,57.45,26.27,1
27.87,83.79,55.37,0
19.45,52.02,26.91,0
24.71,82.62,34.28,0
19.08,51.85,22.5,0
33.93,79.57,44.32,0
28.83,70.44,25.75,1
31.54,50.2,19.07,1
28.63,61.66,25.73,1
27.67,62.06,23.55,1
32.31,74.54,41.98,0
25.61,52.4,23.03,1
33.63,80.08,46.42,0
21.29,59.78,22.79,0
17.95,52.79,19.57,0
31.0,77.43,61.11,0
24.8,52.14,16.58,0
29.08,62.57,22.01,1
27.87,76.2,44.07,0
27.6,44.2,17.95,1
28.11,54.65,24.06,1
25.22,59.48,19.94,1
20.11,65.89,25.69,0
28.92,36.39,16.58,1
35.81,69.87,42.86,0
17.95,53.23,25.69,0
30.23,81.05,48.51,0
29.84,78.91,45.34,0
26.3,66.79,21.11,1
28.19,86.15,72.75,0
24.73,57.96,22.37,0
27.13,81.28,46.0,0
20.67,52.6,27.17,0
23.52,58.92,21.99,0
36.23,66.26,68.45,0
30.74,73.49,64.19,0
19.0,55.47,29.58,0
34.31,82.71,75.4,0
26.3,52.16,18.11,1
29.12,83.39,43.23,0
21.29,56.92,25.15,0
27.91,68.01,21.73,1
22.74,63.63,23.42,0
21.93,49.86,25.45,0
30.58,83.97,71.75,0
38.33,79.49,42.6,0
28.23,67.26,65.07,0
23.58,70.59,31.6,0
17.95,46.59,24.48,0
19.99,46.85,23.64,0
25.63,46.9,16.9,1
27.45,70.05,46.55,0
26.91,49.53,20.21,1
20.6,62.76,31.41,0
25.12,60.72,20.11,1
27.1,58.62,22.5,1
20.26,56.63,20.51,0
19.55,38.92,19.82,0
25.0,45.2,15.41,0
33.04,73.78,41.26,0
32.78,78.44,43.58,0
18.32,49.67,22.7,0
33.03,71.68,69.44,0
29.05,79.49,39.05,0
19.6,42.01,18.37,0
22.09,50.43,28.87,0
30.84,74.8,43.44,0
29.59,75.22,53.3,0
28.42,53.91,17.14,1
28.04,83.22,66.53,0
28.81,51.49,18.26,1
31.77,70.03,64.17,0
30.09,72.08,46.96,0
28.71,60.68,21.24,1
14.67,63.42,27.54,0
16.19,56.36,20.91,0
19.7,58.67,29.89,0
21.03,69.63,25.55,0
26.19,71.96,67.65,0
29.37,82.89,42.31,0
27.59,54.15,16.31,1
21.08,48.58,20.52,0
28.09,43.58,16.44,1
32.71,81.39,37.14,0
20.75,64.46,26.15,0
18.34,52.93,20.3,0
27.66,49.16,18.19,1
30.76,86.32,64.31,0
20.58,51.31,21.26,0
16.3,48.89,20.51,0
21.08,60.37,32.18,0
31.92,75.33,71.85,0
21.76,54.31,25.09,0
19.97,41.76,21.53,0
16.9,43.18,23.33,0
20.85,41.33,22.64,0
27.79,88.55,63.95,0
21.64,61.45,23.84,0
26.56,70.07,48.41,0
19.29,47.44,20.64,0
32.81,80.89,41.52,0
27.18,77.52,36.89,0
27.98,82.51,71.92,0
25.41,66.08,23.08,1
20.38,47.17,24.62,0
32.44,44.91,16.92,1
31.24,74.25,38.46,0
23.59,58.04,23.94,0
30.31,49.86,19.79,1
31.53,79.07,58.35,0
31.28,53.99,22.37,1
20.87,41.05,23.79,0
30.65,77.05,65.79,0
26.46,53.95,18.72,1
20.65,46.28,25.31,0
18.87,53.64,23.08,0
32.23,79.46,44.61,0
27.38,48.73,19.27,1
34.05,64.38,22.89,1
27.22,56.25,21.21,1
21.42,64.32,27.29,0
18.97,51.54,24.45,0
29.45,85.83,63.8,0
31.03,64.77,19.1,1
29.99,60.21,23.34,1
35.02,72.91,66.38,0
20.6,50.96,30.35,0
21.63,47.75,24.29,0
32.85,87.79,46.87,0
30.35,57.57,22.17,1
21.25,62.98,28.79,0
31.11,73.08,48.19,0
27.63,62.09,22.09,1
22.95,49.07,22.95,0
29.5,76.58,57.38,0
28.09,48.13,15.5,1
31.0,86.04,67.9,0
29.6,76.62,40.81,0
28.58,77.7,69.03,0
24.26,42.95,15.79,0
15.5,57.6,34.28,0
33.29,71.72,60.29,0
24.3,44.7,17.62,0
34.75,74.4,39.8,0
26.75,46.89,13.91,1
24.76,52.17,18.25,0
28.28,55.46,20.49,1
23.41,66.07,28.18,0
28.13,76.22,59.06,0
18.94,47.11,18.5,0
24.86,43.78,19.52,0
30.64,83.15,60.16,0
36.17,63.25,26.12,1
33.02,70.7,44.94,0
25.83,54.37,20.43,1
24.17,55.64,19.5,0
33.65,70.24,59.12,0
32.49,73.93,58.67,0
26.87,38.37,18.08,1
30.32,75.5,46.27,0
21.88,46.03,23.41,0
31.32,83.03,73.98,0
17.03,35.99,24.05,0
23.54,71.49,22.44,0
18.2,67.31,30.26,0
25.2,55.79,21.86,1
29.55,68.18,22.54,1
22.6,51.0,14.74,0
28.41,61.64,21.56,1
27.28,77.22,50.0,0
19.97,51.4,19.13,0
30.56,79.42,60.18,0
33.1,63.06,28.98,1
28.37,47.27,16.81,1
31.17,79.63,53.74,0
35.03,91.13,40.09,0
24.23,62.78,24.49,0
30.17,80.23,59.2,0
26.24,40.53,20.25,1
25.04,63.14,20.97,1
19.84,53.27,26.41,0
30.32,67.43,60.02,0
27.37,66.54,24.32,1
21.94,60.58,24.85,0
19.49,58.6,28.38,0
20.9,64.31,29.52,0
20.54,60.45,29.2,0
32.42,70.9,70.05,0
28.56,63.42,21.86,1
20.25,63.88,29.25,0
20.84,50.37,22.16,0
29.14,77.54,49.34,0
27.66,47.24,17.36,1
29.94,56.86,22.58,1
28.75,69.84,49.2,0
26.37,50.19,17.81,1
21.87,56.29,27.77,0
29.02,42.35,13.35,1
31.79,76.32,63.06,0
27.66,79.86,42.93,0
34.31,70.61,40.17,0
28.13,61.92,20.3,1
26.14,65.54,20.19,1
28.35,66.09,25.61,1
19.56,48.05,20.6,0
30.87,85.81,60.46,0
20.06,63.15,24.66,0
29.63,74.4,45.35,0
29.36,71.79,58.11,0
20.25,46.75,28.81,0
29.04,73.95,44.26,0
25.1,66.86,20.66,1
32.65,46.21,16.49,1
31.16,82.92,37.09,0
25.93,78.48,52.97,0
35.08,73.26,67.19,0
26.32,48.7,15.23,1
33.98,82.31,51.94,0
28.65,60.27,22.62,1
21.12,58.59,25.83,0
20.38,50.26,23.79,0
34.37,75.11,59.52,0
34.22,79.66,66.28,0
32.34,82.29,51.11,0
30.15,56.87,23.12,1
32.69,81.17,68.71,0
29.0,47.23,19.14,1
22.78,58.0,24.33,0
32.8,74.1,58.45,0
29.28,38.23,14.98,1
17.62,53.29,22.22,0
31.1,61.9,21.32,1
33.32,80.24,48.47,0
17.59,50.07,23.58,0
25.91,57.92,26.82,1
28.58,77.81,63.3,0
26.37,50.73,20.91,1
28.06,72.82,69.12,0
17.44,49.3,20.67,0
20.55,60.84,30.74,0
32.81,74.37,66.67,0
22.66,53.81,28.28,0
32.06,55.31,18.23,1
27.26,76.05,47.13,0
18.26,53.16,25.86,0
18.72,56.49,28.91,0
33.36,70.33,47.69,0
27.98,84.35,45.36,0
24.09,65.35,32.23,0
22.72,55.94,31.05,0
29.94,73.43,69.94,0
26.98,43.57,18.6,1
21.11,52.56,26.8,0
18.89,52.97,24.65,0
21.67,51.7,21.75,0
22.84,55.42,26.63,0
19.19,64.3,26.17,0
21.74,64.23,28.12,0
30.33,79.34,71.94,0
30.29,77.05,43.28,0
21.2,55.64,18.41,0
34.79,80.86,66.22,0
24.92,62.45,28.97,0
19.2,37.01,20.28,0
20.39,57.57,28.41,0
19.52,55.1,27.53,0
17.85,45.39,23.09,0
30.81,37.97,18.59,1
37.24,79.6,66.67,0
20.39,41.99,23.29,0
32.93,82.38,57.47,0
29.14,57.41,24.54,1
20.48,50.89,20.54,0
26.71,50.19,21.65,1
19.49,48.37,26.56,0
25.14,48.11,17.9,1
30.69,67.18,25.64,1
28.27,50.17,18.19,1
28.86,57.73,21.66,1
18.45,59.05,26.94,0
26.36,76.29,61.52,0
23.59,45.14,20.59,0
21.27,58.43,28.01,0
29.03,64.48,26.27,1
21.09,40.26,28.33,0
28.95,80.95,37.57,0
25.4,39.9,18.24,1
20.65,62.22,22.32,0
32.46,73.1,43.44,0
27.43,78.62,48.16,0
28.99,81.95,57.69,0
19.62,48.68,21.47,0
31.31,78.0,60.79,0
16.99,57.1,28.23,0
18.06,59.64,32.71,0
29.42,78.5,67.54,0
17.34,62.25,29.35,0
28.14,57.87,23.12,1
21.76,61.24,27.75,0
34.37,77.25,64.19,0
23.17,59.63,22.03,0
30.52,47.46,16.64,1
35.05,78.54,68.03,0
28.99,77.46,45.66,0
27.62,76.03,42.87,0
30.8,81.06,51.58,0
22.22,71.85,25.93,0
24.83,47.71,18.81,0
35.37,70.38,65.15,0
21.05,61.86,25.96,0
16.85,44.93,28.12,0
24.41,63.99,24.06,0
27.93,58.59,23.84,1
32.03,76.71,64.97,0
31.18,82.25,40.91,0
23.41,44.29,22.22,0
26.3,47.59,15.4,1
33.02,82.63,66.68,0
19.38,64.66,22.17,0
29.3,83.97,71.45,0
33.45,72.09,50.07,0
25.04,46.54,18.02,1
30.04,44.19,17.46,1
22.25,61.99,29.92,0
22.83,48.67,22.43,0
15.48,56.6,28.18,0
24.04,44.33,13.98,0
15.5,55.67,28.82,0
21.37,43.37,21.64,0
19.85,66.41,25.61,0
30.11,83.01,50.7,0
25.1,54.02,16.55,1
32.06,39.67,16.48,1
26.52,78.38,64.09,0
29.83,77.75,46.69,0
22.33,47.45,19.37,0
30.24,73.86,52.95,0
30.1,59.56,21.75,1
19.2,58.13,30.39,0
30.59,84.14,70.27,0
28.93,75.43,45.05,0
26.15,70.06,41.93,0
17.81,62.89,26.44,0
31.58,79.83,42.85,0
18.89,42.2,25.32,0
18.21,42.09,24.74,0
28.94,71.27,57.68,0
29.19,55.05,23.66,1
21.49,61.58,24.89,0
17.37,56.7,27.79,0
25.7,59.37,25.35,1
31.29,80.97,47.23,0
22.85,67.58,22.04,0
18.59,49.54,25.28,0
28.47,60.99,26.46,1
26.18,46.49,16.1,1
26.71,56.05,22.51,1
21.32,45.7,21.15,0
19.71,61.61,26.04,0
31.16,80.32,63.32,0
21.96,61.11,30.54,0
13.82,60.62,24.92,0
22.95,60.29,27.77,0
26.5,62.67,25.68,1
30.86,72.1,68.12,0
20.72,49.51,23.31,0
27.76,81.14,44.88,0
30.21,80.99,44.96,0
29.83,85.88,70.43,0
25.17,59.11,19.43,1
17.13,36.46,22.63,0
22.33,58.89,24.34,0
21.32,54.85,21.03,0
26.58,40.09,16.96,1
19.66,58.98,29.31,0
33.02,81.45,45.13,0
30.41,81.89,43.81,0
18.92,51.5,27.85,0
26.74,49.07,18.89,1
31.53,51.12,16.64,1
27.17,55.0,21.63,1
30.77,83.41,47.34,0
29.49,69.58,68.71,0
28.31,67.2,24.95,1
31.53,76.52,43.67,0
15.92,58.03,27.84,0
21.01,47.71,21.46,0
33.08,80.54,62.68,0
20.71,67.61,32.54,0
30.2,76.45,64.3,0
29.75,76.22,51.79,0
17.13,44.04,22.32,0
21.06,64.27,30.03,0
30.26,48.37,19.61,1
22.87,57.22,29.97,0
32.86,84.37,71.57,0
27.98,49.34,17.99,1
19.75,47.31,22.13,0
18.47,40.71,27.82,0
20.35,46.48,22.71,0
37.06,75.67,49.61,0
25.37,58.23,21.9,1
31.06,72.54,62.15,0
34.0,72.28,60.02,0
29.69,60.35,26.39,1
28.43,61.22,23.1,1
29.38,64.44,22.47,1
25.63,47.38,17.61,1
20.46,54.01,26.77,0
25.86,63.18,24.41,1
32.26,37.34,21.57,1
20.99,52.64,27.2,0
31.52,83.49,48.76,0
25.09,46.49,14.58,1
